sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-24 00:00;28.228;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 00:15;28.193;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 00:30;28.231;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 00:45;28.251;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 01:00;28.233;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 01:15;28.229;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 01:30;28.156;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 01:45;28.233;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 02:00;28.221;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 02:15;28.215;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 02:30;28.223;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 02:45;28.174;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 03:00;28.211;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 03:15;28.185;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 03:30;28.207;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 03:45;28.146;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 04:00;28.152;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 04:15;28.162;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 04:30;28.127;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 04:45;28.121;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 05:00;28.133;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 05:15;28.135;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 05:30;28.126;Ankdammen;NivÂ;FALSE
